El   ANO-R0            ANO-R1            ANO-R2            ANO-R3
Os   6s4p3d1f          7s5p4d2f          8s6p5d3f1g        10s7p6d4f3g1h   
Ir   6s4p3d1f          7s5p4d2f          8s6p5d3f1g        9s7p6d4f2g2h    
Pt   6s4p3d1f          7s5p4d2f          8s6p5d3f1g        9s7p6d4f2g2h    
Au   6s4p3d1f          7s5p4d2f          8s6p5d3f1g        9s7p6d4f2g2h    
Hg   6s4p3d1f          7s5p4d2f          8s6p5d3f1g        8s7p6d3f2g1h    
Tl   6s5p3d1f          7s6p4d2f          8s7p5d3f1g        9s8p7d3f2g1h    
Pb   6s5p3d1f          7s6p4d2f          8s7p5d3f1g        9s8p6d3f2g1h    
Bi   6s5p3d1f          7s6p4d2f          8s7p5d3f1g        9s8p6d3f2g1h    
Po   6s5p3d1f          7s6p4d2f          8s7p5d3f1g        9s8p6d3f3g2h    
At   6s5p3d1f          7s6p4d2f          8s7p5d3f1g        9s8p6d3f3g2h    
Rn   6s5p3d1f          7s6p4d2f          8s7p5d3f1g        9s8p6d3f3g2h 
