S.ANO-RCC-VTZ                            S.ANO-RCC...5s4p2d.
S.ANO-RCC-VTZP                           S.ANO-RCC...5s4p2d1f.
S.ANO-RCC-VQZP                           S.ANO-RCC...6s5p3d2f1g.
Cl.ANO-RCC-MB                            Cl.ANO-RCC...3s2p.
Cl.ANO-RCC-VDZ                           Cl.ANO-RCC...4s3p.
Cl.ANO-RCC-VDZP                          Cl.ANO-RCC...4s3p1d.
Cl.ANO-RCC-VTZ                           Cl.ANO-RCC...5s4p2d.
Cl.ANO-RCC-VTZP                          Cl.ANO-RCC...5s4p2d1f.
Cl.ANO-RCC-VQZP                          Cl.ANO-RCC...6s5p3d2f1g.
Ar.ANO-RCC-MB                            Ar.ANO-RCC...3s2p.
Ar.ANO-RCC-VDZ                           Ar.ANO-RCC...4s3p.
Ar.ANO-RCC-VDZP                          Ar.ANO-RCC...4s3p1d.
Ar.ANO-RCC-VTZ                           Ar.ANO-RCC...5s4p2d.
Ar.ANO-RCC-VTZP                          Ar.ANO-RCC...5s4p2d1f.
Ar.ANO-RCC-VQZP                          Ar.ANO-RCC...6s5p3d2f1g.
K.ANO-RCC-MB                             K.ANO-RCC...4s3p.
K.ANO-RCC-VDZ                            K.ANO-RCC...5s4p.
K.ANO-RCC-VDZP                           K.ANO-RCC...5s4p1d.
K.ANO-RCC-VTZ                            K.ANO-RCC...6s5p2d.
K.ANO-RCC-VTZP                           K.ANO-RCC...6s5p2d1f.
K.ANO-RCC-VQZP                           K.ANO-RCC...7s6p3d2f1g.
Ca.ANO-RCC-MB                            Ca.ANO-RCC...4s3p.
Ca.ANO-RCC-VDZ                           Ca.ANO-RCC...5s4p.
Ca.ANO-RCC-VDZP                          Ca.ANO-RCC...5s4p1d.
Ca.ANO-RCC-VTZ                           Ca.ANO-RCC...6s5p2d.
Ca.ANO-RCC-VTZP                          Ca.ANO-RCC...6s5p2d1f.
Ca.ANO-RCC-VQZP                          Ca.ANO-RCC...7s6p3d2f1g.
Sc.ANO-RCC-MB                            Sc.ANO-RCC...4s3p1d.
Sc.ANO-RCC-VDZ                           Sc.ANO-RCC...5s4p2d.
Sc.ANO-RCC-VDZP                          Sc.ANO-RCC...5s4p2d1f.
Sc.ANO-RCC-VTZP                          Sc.ANO-RCC...6s5p3d2f1g.
Sc.ANO-RCC-VQZP                          Sc.ANO-RCC...7s6p4d3f2g1h.
Ti.ANO-RCC-MB                            Ti.ANO-RCC...4s3p1d.
Ti.ANO-RCC-VDZ                           Ti.ANO-RCC...5s4p2d.
Ti.ANO-RCC-VDZP                          Ti.ANO-RCC...5s4p2d1f.
Ti.ANO-RCC-VTZP                          Ti.ANO-RCC...6s5p3d2f1g.
Ti.ANO-RCC-VQZP                          Ti.ANO-RCC...7s6p4d3f2g1h.
V.ANO-RCC-MB                             V.ANO-RCC...4s3p1d.
V.ANO-RCC-VDZ                            V.ANO-RCC...5s4p2d.
V.ANO-RCC-VDZP                           V.ANO-RCC...5s4p2d1f.
V.ANO-RCC-VTZP                           V.ANO-RCC...6s5p3d2f1g.
V.ANO-RCC-VQZP                           V.ANO-RCC...7s6p4d3f2g1h.
